ngay,sanluong,chatbeo,protein,bo,phomai,suatachkem,suadac,suanguyenchat
1995-01,911676,4.58,3.54,14380,58071,3955,29397,9250
1995-02,837617,4.52,3.48,12263,53419,2611,28294,8349
1995-03,940083,4.51,3.46,12699,59799,2743,31102,11085
1995-04,935337,4.5,3.44,12702,57396,2564,30827,12194
1995-05,985108,4.34,3.45,11979,59326,4352,31917,13531
1995-06,922883,4.26,3.45,10975,54075,3647,31014,13021
1995-07,936758,4.17,3.39,11343,54376,3514,29876,10269
1995-08,910404,4.14,3.37,9479,55857,2427,29164,9553
1995-09,848166,4.3,3.46,8811,55537,2161,30014,6833
1995-10,869100,4.39,3.55,8753,59209,1289,27015,8361
1995-11,839265,4.49,3.59,8610,57990,1311,26884,7986
1995-12,874605,4.62,3.58,10306,57842,1534,27594,11460
1996-01,869458,4.64,3.55,11525,58176,2413,27044,9062
1996-02,807070,4.63,3.52,10806,55043,1133,28139,9136
1996-03,855588,4.58,3.47,11641,58730,1491,28047,9313
1996-04,909093,4.53,3.41,13313,56472,2986,25782,10960
1996-05,967831,4.42,3.4,14062,58503,4585,28825,13129
1996-06,924381,4.25,3.42,11242,54673,3344,29727,12001
1996-07,952838,4.19,3.42,12698,55852,5061,26707,12836
1996-08,895069,4.19,3.4,9472,57550,2185,25326,9568
1996-09,833714,4.3,3.5,6173,58148,863,26214,8480
1996-10,854969,4.42,3.59,7685,61490,1281,27037,9051
1996-11,804639,4.55,3.57,7881,57263,750,26380,8554
1996-12,860551,4.63,3.55,11002,56200,2764,27873,11455
1997-01,885014,4.65,3.54,13069,59848,2307,28973,10589
1997-02,809713,4.54,3.47,10860,54369,1496,28359,8612
1997-03,891462,4.46,3.41,11206,60610,1803,26250,10011
1997-04,906444,4.47,3.41,12447,59642,2624,26627,10988
1997-05,945959,4.38,3.43,12920,60993,4546,29874,12602
1997-06,904808,4.22,3.4,11700,55671,5720,28620,9994
1997-07,893747,4.17,3.4,12116,56877,6403,27485,8769
1997-08,846786,4.14,3.36,10316,58009,3078,24652,7191
1997-09,818479,4.24,3.44,8177,58939,2251,26875,6595
1997-10,844190,4.43,3.56,9002,63175,2095,26737,8074
1997-11,819281,4.6,3.61,9984,58917,2315,27572,8176
1997-12,892618,4.62,3.56,12704,57051,4893,26877,10169
1998-01,914900,4.54,3.49,14175,59031,5079,26581,10130
1998-02,829400,4.53,3.46,12154,53474,3018,25703,8350
1998-03,935000,4.5,3.41,13464,57734,4362,29894,9700
1998-04,933600,4.48,3.39,13807,56481,4793,24359,10372
1998-05,982600,4.37,3.38,14422,57095,5221,25605,11732
1998-06,932400,4.24,3.39,13157,52275,6367,21261,10163
1998-07,906900,4.18,3.41,12769,52794,6328,20839,10203
1998-08,879400,4.17,3.44,11566,53160,5428,25117,9440
1998-09,816100,4.31,3.51,10325,51841,4799,22375,8756
1998-10,822500,4.46,3.55,10866,54377,4418,23429,8536
1998-11,798600,4.56,3.56,10519,51289,5061,23557,8675
1998-12,789800,4.56,3.57,11776,50050,5634,21380,9435
1999-01,917179,4.44,3.47,13950,54963,7299,22520,8162
1999-02,825904,4.47,3.46,12671,48630,6962,21323,7017
1999-03,913657,4.45,3.43,13031,54446,6691,24361,8460
1999-04,921808,4.4,3.38,13253,52747,6617,22158,9043
1999-05,982390,4.27,3.4,13585,55246,9107,23878,8682
1999-06,952904,4.15,3.42,12983,51044,8057,23184,8502
1999-07,937809,4.09,3.39,11997,54482,7537,23114,8374
1999-08,894737,4.12,3.41,10665,55283,5530,22041,8614
1999-09,837376,4.22,3.46,7415,55961,3682,21699,7899
1999-10,858207,4.44,3.56,9042,59188,3326,26921,5727
1999-11,838181,4.54,3.59,9703,57481,4483,25155,5902
1999-12,896649,4.57,3.57,11605,59229,6130,25047,6897
2000-01,920180,4.55,3.52,12291,59295,7448,19651,10525
2000-02,860157,4.49,3.46,11213,55732,4502,22340,8938
2000-03,887320,4.51,3.46,12051,59466,5944,23693,8052
2000-04,912957,4.47,3.42,12159,56067,6320,22542,7640
2000-05,955278,4.27,3.38,12160,57190,5684,25224,9374
2000-06,916721,4.21,3.41,11264,55035,5773,23038,9635
2000-07,913160,4.19,3.42,10486,54520,6456,22513,8054
2000-08,889049,4.18,3.42,8275,57503,4883,20763,8716
2000-09,862395,4.29,3.49,7065,56331,4744,22173,6629
2000-10,867685,4.44,3.61,8325,58417,3901,24278,7237
2000-11,839607,4.57,3.55,9589,56737,4028,23070,6174
2000-12,909091,4.44,3.52,11321,57307,6267,24215,9075
2001-01,914682,4.61,3.51,12623,57262,5668,24501,8410
2001-02,849811,4.57,3.47,11114,52207,4849,26714,8252
2001-03,876672,4.57,3.48,10796,53217,3532,26789,10245
2001-04,917723,4.54,3.43,12206,53786,7005,25649,8507
2001-05,971039,4.42,3.4,12398,55872,7886,25653,9317
2001-06,951882,4.27,3.42,11885,52860,6494,24036,10615
2001-07,932724,4.17,3.38,11082,56051,5374,23169,8785
