ngay,sanluong,chatbeo,protein,bo,phomai,suatachkem,suadac,suanguyenchat
1995-01,"911,676",4.58,3.54,"14,380","58,071","3,955","29,397","9,250"
1995-02,"837,617",4.52,3.48,"12,263","53,419","2,611","28,294","8,349"
1995-03,"940,083",4.51,3.46,"12,699","59,799","2,743","31,102","11,085"
1995-04,"935,337",4.5,3.44,"12,702","57,396","2,564","30,827","12,194"
1995-05,"985,108",4.34,3.45,"11,979","59,326","4,352","31,917","13,531"
1995-06,"922,883",4.26,3.45,"10,975","54,075","3,647","31,014","13,021"
1995-07,"936,758",4.17,3.39,"11,343","54,376","3,514","29,876","10,269"
1995-08,"910,404",4.14,3.37,"9,479","55,857","2,427","29,164","9,553"
1995-09,"848,166",4.3,3.46,"8,811","55,537","2,161","30,014","6,833"
1995-10,"869,100",4.39,3.55,"8,753","59,209","1,289","27,015","8,361"
1995-11,"839,265",4.49,3.59,"8,610","57,990","1,311","26,884","7,986"
1995-12,"874,605",4.62,3.58,"10,306","57,842","1,534","27,594","11,460"
1996-01,"869,458",4.64,3.55,"11,525","58,176","2,413","27,044","9,062"
1996-02,"807,070",4.63,3.52,"10,806","55,043","1,133","28,139","9,136"
1996-03,"855,588",4.58,3.47,"11,641","58,730","1,491","28,047","9,313"
1996-04,"909,093",4.53,3.41,"13,313","56,472","2,986","25,782","10,960"
1996-05,"967,831",4.42,3.4,"14,062","58,503","4,585","28,825","13,129"
1996-06,"924,381",4.25,3.42,"11,242","54,673","3,344","29,727","12,001"
1996-07,"952,838",4.19,3.42,"12,698","55,852","5,061","26,707","12,836"
1996-08,"895,069",4.19,3.4,"9,472","57,550","2,185","25,326","9,568"
1996-09,"833,714",4.3,3.5,"6,173","58,148",863,"26,214","8,480"
1996-10,"854,969",4.42,3.59,"7,685","61,490","1,281","27,037","9,051"
1996-11,"804,639",4.55,3.57,"7,881","57,263",750,"26,380","8,554"
1996-12,"860,551",4.63,3.55,"11,002","56,200","2,764","27,873","11,455"
1997-01,"885,014",4.65,3.54,"13,069","59,848","2,307","28,973","10,589"
1997-02,"809,713",4.54,3.47,"10,860","54,369","1,496","28,359","8,612"
1997-03,"891,462",4.46,3.41,"11,206","60,610","1,803","26,250","10,011"
1997-04,"906,444",4.47,3.41,"12,447","59,642","2,624","26,627","10,988"
1997-05,"945,959",4.38,3.43,"12,920","60,993","4,546","29,874","12,602"
1997-06,"904,808",4.22,3.4,"11,700","55,671","5,720","28,620","9,994"
1997-07,"893,747",4.17,3.4,"12,116","56,877","6,403","27,485","8,769"
1997-08,"846,786",4.14,3.36,"10,316","58,009","3,078","24,652","7,191"
1997-09,"818,479",4.24,3.44,"8,177","58,939","2,251","26,875","6,595"
1997-10,"844,190",4.43,3.56,"9,002","63,175","2,095","26,737","8,074"
1997-11,"819,281",4.6,3.61,"9,984","58,917","2,315","27,572","8,176"
1997-12,"892,618",4.62,3.56,"12,704","57,051","4,893","26,877","10,169"
1998-01,"914,900",4.54,3.49,"14,175","59,031","5,079","26,581","10,130"
1998-02,"829,400",4.53,3.46,"12,154","53,474","3,018","25,703","8,350"
1998-03,"935,000",4.5,3.41,"13,464","57,734","4,362","29,894","9,700"
1998-04,"933,600",4.48,3.39,"13,807","56,481","4,793","24,359","10,372"
1998-05,"982,600",4.37,3.38,"14,422","57,095","5,221","25,605","11,732"
1998-06,"932,400",4.24,3.39,"13,157","52,275","6,367","21,261","10,163"
1998-07,"906,900",4.18,3.41,"12,769","52,794","6,328","20,839","10,203"
1998-08,"879,400",4.17,3.44,"11,566","53,160","5,428","25,117","9,440"
1998-09,"816,100",4.31,3.51,"10,325","51,841","4,799","22,375","8,756"
1998-10,"822,500",4.46,3.55,"10,866","54,377","4,418","23,429","8,536"
1998-11,"798,600",4.56,3.56,"10,519","51,289","5,061","23,557","8,675"
1998-12,"789,800",4.56,3.57,"11,776","50,050","5,634","21,380","9,435"
1999-01,"917,179",4.44,3.47,"13,950","54,963","7,299","22,520","8,162"
1999-02,"825,904",4.47,3.46,"12,671","48,630","6,962","21,323","7,017"
1999-03,"913,657",4.45,3.43,"13,031","54,446","6,691","24,361","8,460"
1999-04,"921,808",4.4,3.38,"13,253","52,747","6,617","22,158","9,043"
1999-05,"982,390",4.27,3.4,"13,585","55,246","9,107","23,878","8,682"
1999-06,"952,904",4.15,3.42,"12,983","51,044","8,057","23,184","8,502"
1999-07,"937,809",4.09,3.39,"11,997","54,482","7,537","23,114","8,374"
1999-08,"894,737",4.12,3.41,"10,665","55,283","5,530","22,041","8,614"
1999-09,"837,376",4.22,3.46,"7,415","55,961","3,682","21,699","7,899"
1999-10,"858,207",4.44,3.56,"9,042","59,188","3,326","26,921","5,727"
1999-11,"838,181",4.54,3.59,"9,703","57,481","4,483","25,155","5,902"
1999-12,"896,649",4.57,3.57,"11,605","59,229","6,130","25,047","6,897"
2000-01,"920,180",4.55,3.52,"12,291","59,295","7,448","19,651","10,525"
